id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
173;;;;;Irará;Tejuçuoca;;;Palestina de Goiás;São Bernardo;Central de Minas;;;;Japurá;Santana Dos Garrotes;Toritama;Ribeiro Gonçalves;;;Fortaleza Dos Valos;;;Nova Veneza;Espírito Santo do Turvo;;
174;;;;;Irecê;Tianguá;;;Palmeiras de Goiás;São Domingos do Azeitão;Centralina;;;;Jardim Alegre;Santarém;Tracunhaém;Rio Grande do Piauí;;;Frederico Westphalen;;;Novo Horizonte;Estrela D´oeste;;
175;;;;;Itabela;Trairi;;;Palmelo;São Domingos do Maranhão;Chácara;;;;Jardim Olinda;Santa Rita;Trindade;Santa Cruz do Piauí;;;Garibaldi;;;Orleans;Estrela do Norte;;
176;;;;;Itaberaba;Tururu;;;Palminópolis;São Félix de Balsas;Chalé;;;;Jataizinho;Santa Teresinha;Triunfo;Santa Cruz Dos Milagres;;;Garruchos;;;Otacílio Costa;Euclides da Cunha Paulista;;
177;;;;;Itabuna;Ubajara;;;Panamá;São Francisco do Brejão;Chapada do Norte;;;;Jesuítas;Santo André;Tupanatinga;Santa Filomena;;;Gaurama;;;Ouro;Fartura;;
178;;;;;Itacaré;Umari;;;Paranaiguara;São Francisco do Maranhão;Chapada Gaúcha;;;;Joaquim Távora;São Bento;Tuparetama;Santa Luz;;;General Câmara;;;Ouro Verde;Fernandópolis;;
179;;;;;Itaeté;Umirim;;;Paraúna;São João Batista;Chiador;;;;Jundiaí do Sul;São Bentinho;Venturosa;Santana do Piauí;;;Gentil;;;Paial;Fernando Prestes;;
180;;;;;Itagi;Uruburetama;;;Perolândia;São João do Carú;Cipotânea;;;;Juranda;São Domingos do Cariri;Verdejante;Santa Rosa do Piauí;;;Getúlio Vargas;;;Painel;Fernão;;
181;;;;;Itagibá;Uruoca;;;Petrolina de Goiás;São João do Paraíso;Claraval;;;;Jussara;São Domingos de Pombal;Vertente do Lério;Santo Antônio de Lisboa;;;Giruá;;;Palhoça;Ferraz de Vasconcelos;;
182;;;;;Itagimirim;Varjota;;;Pilar de Goiás;São João do Soter;Claro Dos Poções;;;;Kaloré;São Francisco;Vertentes;Santo Antônio Dos Milagres;;;Glorinha;;;Palma Sola;Flora Rica;;
183;;;;;Itaguaçu da Bahia;Várzea Alegre;;;Piracanjuba;São João Dos Patos;Cláudio;;;;Lapa;São João do Cariri;Vicência;Santo Inácio do Piauí;;;Gramado;;;Palmeira;Floreal;;
184;;;;;Itaju do Colônia;Viçosa do Ceará;;;Piranhas;São José de Ribamar;Coimbra;;;;Laranjal;São João do Tigre;Vitória de Santo Antão;São Braz do Piauí;;;Gramado Dos Loureiros;;;Palmitos;Flórida Paulista;;
185;;;;;Itajuípe;;;;Pirenópolis;São José Dos Basílios;Coluna;;;;Laranjeiras do Sul;São José da Lagoa Tapada;Xexéu;São Félix do Piauí;;;Gramado Xavier;;;Papanduva;Florínia;;
186;;;;;Itamaraju;;;;Pires do Rio;São Luís;Comendador Gomes;;;;Leópolis;São José de Caiana;;São Francisco de Assis do Piauí;;;Gravataí;;;Paraíso;Franca;;
187;;;;;Itamari;;;;Planaltina;São Luís Gonzaga do Maranhão;Comercinho;;;;Lidianópolis;São José de Espinharas;;São Francisco do Piauí;;;Guabiju;;;Passo de Torres;Francisco Morato;;
188;;;;;Itambé;;;;Pontalina;São Mateus do Maranhão;Conceição da Aparecida;;;;Lindoeste;São José Dos Ramos;;São Gonçalo do Gurguéia;;;Guaíba;;;Passos Maia;Franco da Rocha;;
189;;;;;Itanagra;;;;Porangatu;São Pedro da Água Branca;Conceição Das Pedras;;;;Loanda;São José de Piranhas;;São Gonçalo do Piauí;;;Guaporé;;;Paulo Lopes;Gabriel Monteiro;;
190;;;;;Itanhém;;;;Porteirão;São Pedro Dos Crentes;Conceição Das Alagoas;;;;Lobato;São José de Princesa;;São João da Canabrava;;;Guarani Das Missões;;;Pedras Grandes;Gália;;
191;;;;;Itaparica;;;;Portelândia;São Raimundo Das Mangabeiras;Conceição de Ipanema;;;;Londrina;São José do Bonfim;;São João da Fronteira;;;Harmonia;;;Penha;Garça;;
192;;;;;Itapé;;;;Posse;São Raimundo do Doca Bezerra;Conceição do Mato Dentro;;;;Luiziana;São José do Brejo do Cruz;;São João da Serra;;;Herveiras;;;Peritiba;Gastão Vidigal;;
193;;;;;Itapebi;;;;Professor Jamil;São Roberto;Conceição do Pará;;;;Lunardelli;São José do Sabugi;;São João da Varjota;;;Horizontina;;;Pescaria Brava;Gavião Peixoto;;
194;;;;;Itapetinga;;;;Quirinópolis;São Vicente Ferrer;Conceição do Rio Verde;;;;Lupionópolis;São José Dos Cordeiros;;São João do Arraial;;;Hulha Negra;;;Petrolândia;General Salgado;;
195;;;;;Itapicuru;;;;Rialma;Satubinha;Conceição Dos Ouros;;;;Mallet;São Mamede;;São João do Piauí;;;Humaitá;;;Piçarras;Getulina;;
196;;;;;Itapitanga;;;;Rianápolis;Senador Alexandre Costa;Cônego Marinho;;;;Mamborê;São Miguel de Taipu;;São José do Divino;;;Ibarama;;;Pinhalzinho;Glicério;;
197;;;;;Itaquara;;;;Rio Quente;Senador la Rocque;Confins;;;;Mandaguaçu;São Sebastião de Lagoa de Roça;;São José do Peixe;;;Ibiaçá;;;Pinheiro Preto;Guaiçara;;
198;;;;;Itarantim;;;;Rio Verde;Serrano do Maranhão;Congonhal;;;;Mandaguari;São Sebastião do Umbuzeiro;;São José do Piauí;;;Ibiraiaras;;;Piratuba;Guaimbê;;
199;;;;;Itatim;;;;Rubiataba;Sítio Novo;Congonhas;;;;Mandirituba;Sapé;;São Julião;;;Ibirapuitã;;;Planalto Alegre;Guaíra;;
200;;;;;Itiruçu;;;;Sanclerlândia;Sucupira do Norte;Congonhas do Norte;;;;Manfrinópolis;Seridó;;São Lourenço do Piauí;;;Ibirubá;;;Pomerode;Guapiaçu;;
201;;;;;Itiúba;;;;Santa Bárbara de Goiás;Sucupira do Riachão;Conquista;;;;Mangueirinha;Serra Branca;;São Luis do Piauí;;;Igrejinha;;;Ponte Alta;Guapiara;;
202;;;;;Itororó;;;;Santa Cruz de Goiás;Tasso Fragoso;Conselheiro Lafaiete;;;;Manoel Ribas;Serra da Raiz;;São Miguel da Baixa Grande;;;Ijuí;;;Ponte Alta do Norte;Guará;;
203;;;;;Ituaçu;;;;Santa fé de Goiás;Timbiras;Conselheiro Pena;;;;Marechal Cândido Rondon;Serra Grande;;São Miguel do Fidalgo;;;Ilópolis;;;Ponte Serrada;Guaraçaí;;
204;;;;;Ituberá;;;;Santa Helena de Goiás;Timon;Consolação;;;;Maria Helena;Serra Redonda;;São Miguel do Tapuio;;;Imbé;;;Porto Belo;Guaraci;;
205;;;;;Iuiú;;;;Santa Isabel;Trizidela do Vale;Contagem;;;;Marialva;Serraria;;São Pedro do Piauí;;;Imigrante;;;Porto União;Guarani D´oeste;;
206;;;;;Jaborandi;;;;Santa Rita do Araguaia;Tufilândia;Coqueiral;;;;Marilândia do Sul;Sertãozinho;;São Raimundo Nonato;;;Independência;;;Pouso Redondo;Guarantã;;
207;;;;;Jacaraci;;;;Santa Rita do Novo Destino;Tuntum;Coração de Jesus;;;;Marilena;Sobrado;;Sebastião Barros;;;Inhacorá;;;Praia Grande;Guararapes;;
208;;;;;Jacobina;;;;Santa Rosa de Goiás;Turiaçu;Cordisburgo;;;;Mariluz;Solânea;;Sebastião Leal;;;Ipê;;;Presidente Castelo Branco;Guararema;;
209;;;;;Jaguaquara;;;;Santa Tereza de Goiás;Turilândia;Cordislândia;;;;Maringá;Soledade;;Sigefredo Pacheco;;;Ipiranga do Sul;;;Presidente Getúlio;Guaratinguetá;;
210;;;;;Jaguarari;;;;Santa Terezinha de Goiás;Tutóia;Corinto;;;;Mariópolis;Sossêgo;;Simões;;;Iraí;;;Presidente Nereu;Guareí;;
211;;;;;Jaguaripe;;;;Santo Antônio da Barra;Urbano Santos;Coroaci;;;;Maripá;Sousa;;Simplício Mendes;;;Itaara;;;Princesa;Guariba;;
212;;;;;Jandaíra;;;;Santo Antônio de Goiás;Vargem Grande;Coromandel;;;;Marmeleiro;Sumé;;Socorro do Piauí;;;Itacurubi;;;Quilombo;Guarujá;;
213;;;;;Jequié;;;;Santo Antônio do Descoberto;Viana;Coronel Fabriciano;;;;Marquinho;Campo de Santana;;Sussuapara;;;Itapuca;;;Rancho Queimado;Guarulhos;;
214;;;;;Jeremoabo;;;;São Domingos;Vila Nova Dos Martírios;Coronel Murta;;;;Marumbi;Taperoá;;Tamboril do Piauí;;;Itaqui;;;Rio Das Antas;Guatapará;;
215;;;;;Jiquiriçá;;;;São Francisco de Goiás;Vitória do Mearim;Coronel Pacheco;;;;Matelândia;Tavares;;Tanque do Piauí;;;Itati;;;Rio do Campo;Guzolândia;;
216;;;;;Jitaúna;;;;São João D´aliança;Vitorino Freire;Coronel Xavier Chaves;;;;Matinhos;Teixeira;;Teresina;;;Itatiba do Sul;;;Rio do Oeste;Herculândia;;
217;;;;;João Dourado;;;;São João da Paraúna;Zé Doca;Córrego Danta;;;;Mato Rico;Tenório;;União;;;Ivorá;;;Rio Dos Cedros;Holambra;;
218;;;;;Juazeiro;;;;São Luís de Montes Belos;;Córrego do Bom Jesus;;;;Mauá da Serra;Triunfo;;Uruçuí;;;Ivoti;;;Rio do Sul;Hortolândia;;
219;;;;;Jucuruçu;;;;São Luíz do Norte;;Córrego Fundo;;;;Medianeira;Uiraúna;;Valença do Piauí;;;Jaboticaba;;;Rio Fortuna;Iacanga;;
220;;;;;Jussara;;;;São Miguel do Araguaia;;Córrego Novo;;;;Mercedes;Umbuzeiro;;Várzea Branca;;;Jacuizinho;;;Rio Negrinho;Iacri;;
221;;;;;Jussari;;;;São Miguel do Passa Quatro;;Couto de Magalhães de Minas;;;;Mirador;Várzea;;Várzea Grande;;;Jacutinga;;;Rio Rufino;Iaras;;
222;;;;;Jussiape;;;;São Patrício;;Crisólita;;;;Miraselva;Vieirópolis;;Vera Mendes;;;Jaguarão;;;Riqueza;Ibaté;;
223;;;;;Lafaiete Coutinho;;;;São Simão;;Cristais;;;;Missal;Zabelê;;Vila Nova do Piauí;;;Jaguari;;;Rodeio;Ibirá;;
224;;;;;Lagoa Real;;;;Senador Canedo;;Cristália;;;;Moreira Sales;;;Wall Ferraz;;;Jaquirana;;;Romelândia;Ibirarema;;
225;;;;;Laje;;;;Serranópolis;;Cristiano Otoni;;;;Morretes;;;;;;Jari;;;Salete;Ibitinga;;
226;;;;;Lajedão;;;;Silvânia;;Cristina;;;;Munhoz de Melo;;;;;;Jóia;;;Saltinho;Ibiúna;;
227;;;;;Lajedinho;;;;Simolândia;;Crucilândia;;;;Nossa Senhora Das Graças;;;;;;Júlio de Castilhos;;;Salto Veloso;Icém;;
228;;;;;Lajedo do Tabocal;;;;Sítio D´abadia;;Cruzeiro da Fortaleza;;;;Nova Aliança do Ivaí;;;;;;Lagoa Bonita do Sul;;;Sangão;Iepê;;
229;;;;;Lamarão;;;;Taquaral de Goiás;;Cruzília;;;;Nova América da Colina;;;;;;Lagoão;;;Santa Cecília;Igaraçu do Tietê;;
230;;;;;Lapão;;;;Teresina de Goiás;;Cuparaque;;;;Nova Aurora;;;;;;Lagoa Dos Três Cantos;;;Santa Helena;Igarapava;;
231;;;;;Lauro de Freitas;;;;Terezópolis de Goiás;;Curral de Dentro;;;;Nova Cantu;;;;;;Lagoa Vermelha;;;Santa Rosa de Lima;Igaratá;;
232;;;;;Lençóis;;;;Três Ranchos;;Curvelo;;;;Nova Esperança;;;;;;Lajeado;;;Santa Rosa do Sul;Iguape;;
233;;;;;Licínio de Almeida;;;;Trindade;;Datas;;;;Nova Esperança do Sudoeste;;;;;;Lajeado do Bugre;;;Santa Terezinha;Ilhabela;;
234;;;;;Livramento de Nossa Senhora;;;;Trombas;;Delfim Moreira;;;;Nova Fátima;;;;;;Lavras do Sul;;;Santa Terezinha do Progresso;Ilha Comprida;;
235;;;;;Luís Eduardo Magalhães;;;;Turvânia;;Delfinópolis;;;;Nova Laranjeiras;;;;;;Liberato Salzano;;;Santiago do Sul;Ilha Solteira;;
236;;;;;Macajuba;;;;Turvelândia;;Delta;;;;Nova Londrina;;;;;;Lindolfo Collor;;;Santo Amaro da Imperatriz;Indaiatuba;;
237;;;;;Macarani;;;;Uirapuru;;Descoberto;;;;Nova Olímpia;;;;;;Linha Nova;;;São Bernardino;Indiana;;
238;;;;;Macaúbas;;;;Uruaçu;;Desterro de Entre Rios;;;;Nova Santa Bárbara;;;;;;Machadinho;;;São Bento do Sul;Indiaporã;;
239;;;;;Macururé;;;;Uruana;;Desterro do Melo;;;;Nova Santa Rosa;;;;;;Maçambara;;;São Bonifácio;Inúbia Paulista;;
240;;;;;Madre de Deus;;;;Urutaí;;Diamantina;;;;Nova Prata do Iguaçu;;;;;;Mampituba;;;São Carlos;Ipaussu;;
241;;;;;Maetinga;;;;Valparaíso de Goiás;;Diogo de Vasconcelos;;;;Nova Tebas;;;;;;Manoel Viana;;;São Cristovão do Sul;Iperó;;
242;;;;;Maiquinique;;;;Varjão;;Dionísio;;;;Novo Itacolomi;;;;;;Maquiné;;;São Domingos;Ipeúna;;
243;;;;;Mairi;;;;Vianópolis;;Divinésia;;;;Ortigueira;;;;;;Maratá;;;São Francisco do Sul;Ipiguá;;
244;;;;;Malhada;;;;Vicentinópolis;;Divino;;;;Ourizona;;;;;;Marau;;;São João do Oeste;Iporanga;;
245;;;;;Malhada de Pedras;;;;Vila Boa;;Divino Das Laranjeiras;;;;Ouro Verde do Oeste;;;;;;Marcelino Ramos;;;São João Batista;Ipuã;;
246;;;;;Manoel Vitorino;;;;Vila Propício;;Divinolândia de Minas;;;;Paiçandu;;;;;;Mariana Pimentel;;;São João do Itaperiú;Iracemápolis;;
247;;;;;Mansidão;;;;;;Divinópolis;;;;Palmas;;;;;;Mariano Moro;;;São João do Sul;Irapuã;;
248;;;;;Maracás;;;;;;Divisa Alegre;;;;Palmeira;;;;;;Marques de Souza;;;São Joaquim;Irapuru;;
249;;;;;Maragogipe;;;;;;Divisa Nova;;;;Palmital;;;;;;Mata;;;São José;Itaberá;;
250;;;;;Maraú;;;;;;Divisópolis;;;;Palotina;;;;;;Mato Castelhano;;;São José do Cedro;Itaí;;
251;;;;;Marcionílio Souza;;;;;;Dom Bosco;;;;Paraíso do Norte;;;;;;Mato Leitão;;;São José do Cerrito;Itajobi;;
252;;;;;Mascote;;;;;;Dom Cavati;;;;Paranacity;;;;;;Mato Queimado;;;São Lourenço do Oeste;Itaju;;
253;;;;;Mata de São João;;;;;;Dom Joaquim;;;;Paranaguá;;;;;;Maximiliano de Almeida;;;São Ludgero;Itanhaém;;
254;;;;;Matina;;;;;;Dom Silvério;;;;Paranapoema;;;;;;Minas do Leão;;;São Martinho;Itaóca;;
255;;;;;Medeiros Neto;;;;;;Dom Viçoso;;;;Paranavaí;;;;;;Miraguaí;;;São Miguel da Boa Vista;Itapecerica da Serra;;
256;;;;;Miguel Calmon;;;;;;Dona Eusébia;;;;Pato Bragado;;;;;;Montauri;;;São Miguel do Oeste;Itapetininga;;
257;;;;;Milagres;;;;;;Dores de Campos;;;;Pato Branco;;;;;;Monte Alegre Dos Campos;;;São Pedro de Alcântara;Itapeva;;
258;;;;;Mirangaba;;;;;;Dores de Guanhães;;;;Paula Freitas;;;;;;Monte Belo do Sul;;;Saudades;Itapevi;;
259;;;;;Mirante;;;;;;Dores do Indaiá;;;;Paulo Frontin;;;;;;Montenegro;;;Schroeder;Itapira;;
260;;;;;Monte Santo;;;;;;Dores do Turvo;;;;Peabiru;;;;;;Mormaço;;;Seara;Itapirapuã Paulista;;
261;;;;;Morpará;;;;;;Doresópolis;;;;Perobal;;;;;;Morrinhos do Sul;;;Serra Alta;Itápolis;;
262;;;;;Morro do Chapéu;;;;;;Douradoquara;;;;Pérola;;;;;;Morro Redondo;;;Siderópolis;Itaporanga;;
263;;;;;Mortugaba;;;;;;Durandé;;;;Pérola D´oeste;;;;;;Morro Reuter;;;Sombrio;Itapuí;;
264;;;;;Mucugê;;;;;;Elói Mendes;;;;Piên;;;;;;Mostardas;;;Sul Brasil;Itapura;;
265;;;;;Mucuri;;;;;;Engenheiro Caldas;;;;Pinhais;;;;;;Muçum;;;Taió;Itaquaquecetuba;;
266;;;;;Mulungu do Morro;;;;;;Engenheiro Navarro;;;;Pinhalão;;;;;;Muitos Capões;;;Tangará;Itararé;;
267;;;;;Mundo Novo;;;;;;Entre Folhas;;;;Pinhal de São Bento;;;;;;Muliterno;;;Tigrinhos;Itariri;;
268;;;;;Muniz Ferreira;;;;;;Entre Rios de Minas;;;;Pinhão;;;;;;Não-me-toque;;;Tijucas;Itatiba;;
269;;;;;Muquém de São Francisco;;;;;;Ervália;;;;Piraí do Sul;;;;;;Nicolau Vergueiro;;;Timbé do Sul;Itatinga;;
270;;;;;Muritiba;;;;;;Esmeraldas;;;;Piraquara;;;;;;Nonoai;;;Timbó;Itirapina;;
271;;;;;Mutuípe;;;;;;Espera Feliz;;;;Pitanga;;;;;;Nova Alvorada;;;Timbó Grande;Itirapuã;;
272;;;;;Nazaré;;;;;;Espinosa;;;;Pitangueiras;;;;;;Nova Araçá;;;Três Barras;Itobi;;
273;;;;;Nilo Peçanha;;;;;;Espírito Santo do Dourado;;;;Planaltina do Paraná;;;;;;Nova Bassano;;;Treviso;Itu;;
274;;;;;Nordestina;;;;;;Estiva;;;;Planalto;;;;;;Nova Boa Vista;;;Treze de Maio;Itupeva;;
275;;;;;Nova Canaã;;;;;;Estrela Dalva;;;;Ponta Grossa;;;;;;Nova Bréscia;;;Treze Tílias;Ituverava;;
276;;;;;Nova Fátima;;;;;;Estrela do Indaiá;;;;Pontal do Paraná;;;;;;Nova Candelária;;;Trombudo Central;Jaborandi;;
277;;;;;Nova Ibiá;;;;;;Estrela do Sul;;;;Porecatu;;;;;;Nova Esperança do Sul;;;Tubarão;Jaboticabal;;
278;;;;;Nova Itarana;;;;;;Eugenópolis;;;;Porto Amazonas;;;;;;Nova Hartz;;;Tunápolis;Jacareí;;
279;;;;;Nova Redenção;;;;;;Ewbank da Câmara;;;;Porto Barreiro;;;;;;Nova Pádua;;;Turvo;Jaci;;
280;;;;;Nova Soure;;;;;;Extrema;;;;Porto Rico;;;;;;Nova Palma;;;União do Oeste;Jacupiranga;;
281;;;;;Nova Viçosa;;;;;;Fama;;;;Porto Vitória;;;;;;Nova Petrópolis;;;Urubici;Jaguariúna;;
282;;;;;Novo Horizonte;;;;;;Faria Lemos;;;;Prado Ferreira;;;;;;Nova Prata;;;Urupema;Jales;;
283;;;;;Novo Triunfo;;;;;;Felício Dos Santos;;;;Pranchita;;;;;;Nova Ramada;;;Urussanga;Jambeiro;;
284;;;;;Olindina;;;;;;São Gonçalo do Rio Preto;;;;Presidente Castelo Branco;;;;;;Nova Roma do Sul;;;Vargeão;Jandira;;
285;;;;;Oliveira Dos Brejinhos;;;;;;Felisburgo;;;;Primeiro de Maio;;;;;;Nova Santa Rita;;;Vargem;Jardinópolis;;
286;;;;;Ouriçangas;;;;;;Felixlândia;;;;Prudentópolis;;;;;;Novo Cabrais;;;Vargem Bonita;Jarinu;;
287;;;;;Ourolândia;;;;;;Fernandes Tourinho;;;;Quarto Centenário;;;;;;Novo Hamburgo;;;Vidal Ramos;Jaú;;
288;;;;;Palmas de Monte Alto;;;;;;Ferros;;;;Quatiguá;;;;;;Novo Machado;;;Videira;Jeriquara;;
289;;;;;Palmeiras;;;;;;Fervedouro;;;;Quatro Barras;;;;;;Novo Tiradentes;;;Vitor Meireles;Joanópolis;;
290;;;;;Paramirim;;;;;;Florestal;;;;Quatro Pontes;;;;;;Novo Xingu;;;Witmarsum;João Ramalho;;
291;;;;;Paratinga;;;;;;Formiga;;;;Quedas do Iguaçu;;;;;;Novo Barreiro;;;Xanxerê;José Bonifácio;;
292;;;;;Paripiranga;;;;;;Formoso;;;;Querência do Norte;;;;;;Osório;;;Xavantina;Júlio Mesquita;;
293;;;;;Pau Brasil;;;;;;Fortaleza de Minas;;;;Quinta do Sol;;;;;;Paim Filho;;;Xaxim;Jumirim;;
294;;;;;Paulo Afonso;;;;;;Fortuna de Minas;;;;Quitandinha;;;;;;Palmares do Sul;;;Zortéa;Jundiaí;;
295;;;;;pé de Serra;;;;;;Francisco Badaró;;;;Ramilândia;;;;;;Palmeira Das Missões;;;Balneário Rincão;Junqueirópolis;;
296;;;;;Pedrão;;;;;;Francisco Dumont;;;;Rancho Alegre;;;;;;Palmitinho;;;;Juquiá;;
297;;;;;Pedro Alexandre;;;;;;Francisco sá;;;;Rancho Alegre D´oeste;;;;;;Panambi;;;;Juquitiba;;
298;;;;;Piatã;;;;;;Franciscópolis;;;;Realeza;;;;;;Pantano Grande;;;;Lagoinha;;
299;;;;;Pilão Arcado;;;;;;Frei Gaspar;;;;Rebouças;;;;;;Paraí;;;;Laranjal Paulista;;
300;;;;;Pindaí;;;;;;Frei Inocêncio;;;;Renascença;;;;;;Paraíso do Sul;;;;Lavínia;;
301;;;;;Pindobaçu;;;;;;Frei Lagonegro;;;;Reserva;;;;;;Pareci Novo;;;;Lavrinhas;;
302;;;;;Pintadas;;;;;;Fronteira;;;;Reserva do Iguaçu;;;;;;Parobé;;;;Leme;;
303;;;;;Piraí do Norte;;;;;;Fronteira Dos Vales;;;;Ribeirão Claro;;;;;;Passa Sete;;;;Lençóis Paulista;;
304;;;;;Piripá;;;;;;Fruta de Leite;;;;Ribeirão do Pinhal;;;;;;Passo do Sobrado;;;;Limeira;;
305;;;;;Piritiba;;;;;;Frutal;;;;Rio Azul;;;;;;Passo Fundo;;;;Lindóia;;
306;;;;;Planaltino;;;;;;Funilândia;;;;Rio Bom;;;;;;Paulo Bento;;;;Lins;;
307;;;;;Planalto;;;;;;Galiléia;;;;Rio Bonito do Iguaçu;;;;;;Paverama;;;;Lorena;;
308;;;;;Poções;;;;;;Gameleiras;;;;Rio Branco do Ivaí;;;;;;Pedras Altas;;;;Lourdes;;
309;;;;;Pojuca;;;;;;Glaucilândia;;;;Rio Branco do Sul;;;;;;Pedro Osório;;;;Louveira;;
310;;;;;Ponto Novo;;;;;;Goiabeira;;;;Rio Negro;;;;;;Pejuçara;;;;Lucélia;;
311;;;;;Porto Seguro;;;;;;Goianá;;;;Rolândia;;;;;;Pelotas;;;;Lucianópolis;;
312;;;;;Potiraguá;;;;;;Gonçalves;;;;Roncador;;;;;;Picada Café;;;;Luís Antônio;;
313;;;;;Prado;;;;;;Gonzaga;;;;Rondon;;;;;;Pinhal;;;;Luiziânia;;
314;;;;;Presidente Dutra;;;;;;Gouveia;;;;Rosário do Ivaí;;;;;;Pinhal da Serra;;;;Lupércio;;
315;;;;;Presidente Jânio Quadros;;;;;;Governador Valadares;;;;Sabáudia;;;;;;Pinhal Grande;;;;Lutécia;;
316;;;;;Presidente Tancredo Neves;;;;;;Grão Mogol;;;;Salgado Filho;;;;;;Pinheirinho do Vale;;;;Macatuba;;
317;;;;;Queimadas;;;;;;Grupiara;;;;Salto do Itararé;;;;;;Pinheiro Machado;;;;Macaubal;;
318;;;;;Quijingue;;;;;;Guanhães;;;;Salto do Lontra;;;;;;Pinto Bandeira;;;;Macedônia;;
319;;;;;Quixabeira;;;;;;Guapé;;;;Santa Amélia;;;;;;Pirapó;;;;Magda;;
320;;;;;Rafael Jambeiro;;;;;;Guaraciaba;;;;Santa Cecília do Pavão;;;;;;Piratini;;;;Mairinque;;
321;;;;;Remanso;;;;;;Guaraciama;;;;Santa Cruz de Monte Castelo;;;;;;Planalto;;;;Mairiporã;;
322;;;;;Retirolândia;;;;;;Guaranésia;;;;Santa fé;;;;;;Poço Das Antas;;;;Manduri;;
323;;;;;Riachão Das Neves;;;;;;Guarani;;;;Santa Helena;;;;;;Pontão;;;;Marabá Paulista;;
324;;;;;Riachão do Jacuípe;;;;;;Guarará;;;;Santa Inês;;;;;;Ponte Preta;;;;Maracaí;;
325;;;;;Riacho de Santana;;;;;;Guarda-mor;;;;Santa Isabel do Ivaí;;;;;;Portão;;;;Marapoama;;
326;;;;;Ribeira do Amparo;;;;;;Guaxupé;;;;Santa Izabel do Oeste;;;;;;Porto Alegre;;;;Mariápolis;;
327;;;;;Ribeira do Pombal;;;;;;Guidoval;;;;Santa Lúcia;;;;;;Porto Lucena;;;;Marília;;
328;;;;;Ribeirão do Largo;;;;;;Guimarânia;;;;Santa Maria do Oeste;;;;;;Porto Mauá;;;;Marinópolis;;
329;;;;;Rio de Contas;;;;;;Guiricema;;;;Santa Mariana;;;;;;Porto Vera Cruz;;;;Martinópolis;;
330;;;;;Rio do Antônio;;;;;;Gurinhatã;;;;Santa Mônica;;;;;;Porto Xavier;;;;Matão;;
331;;;;;Rio do Pires;;;;;;Heliodora;;;;Santana do Itararé;;;;;;Pouso Novo;;;;Mauá;;
332;;;;;Rio Real;;;;;;Iapu;;;;Santa Tereza do Oeste;;;;;;Presidente Lucena;;;;Mendonça;;
333;;;;;Rodelas;;;;;;Ibertioga;;;;Santa Terezinha de Itaipu;;;;;;Progresso;;;;Meridiano;;
334;;;;;Ruy Barbosa;;;;;;Ibiá;;;;Santo Antônio da Platina;;;;;;Protásio Alves;;;;Mesópolis;;
335;;;;;Salinas da Margarida;;;;;;Ibiaí;;;;Santo Antônio do Caiuá;;;;;;Putinga;;;;Miguelópolis;;
336;;;;;Salvador;;;;;;Ibiracatu;;;;Santo Antônio do Paraíso;;;;;;Quaraí;;;;Mineiros do Tietê;;
337;;;;;Santa Bárbara;;;;;;Ibiraci;;;;Santo Antônio do Sudoeste;;;;;;Quatro Irmãos;;;;Miracatu;;
338;;;;;Santa Brígida;;;;;;Ibirité;;;;Santo Inácio;;;;;;Quevedos;;;;Mira Estrela;;
339;;;;;Santa Cruz Cabrália;;;;;;Ibitiúra de Minas;;;;São Carlos do Ivaí;;;;;;Quinze de Novembro;;;;Mirandópolis;;
340;;;;;Santa Cruz da Vitória;;;;;;Ibituruna;;;;São Jerônimo da Serra;;;;;;Redentora;;;;Mirante do Paranapanema;;
341;;;;;Santa Inês;;;;;;Icaraí de Minas;;;;São João;;;;;;Relvado;;;;Mirassol;;
342;;;;;Santaluz;;;;;;Igarapé;;;;São João do Caiuá;;;;;;Restinga Seca;;;;Mirassolândia;;
343;;;;;Santa Luzia;;;;;;Igaratinga;;;;São João do Ivaí;;;;;;Rio Dos Índios;;;;Mococa;;
344;;;;;Santa Maria da Vitória;;;;;;Iguatama;;;;São João do Triunfo;;;;;;Rio Grande;;;;Moji Das Cruzes;;
345;;;;;Santana;;;;;;Ijaci;;;;São Jorge D´oeste;;;;;;Rio Pardo;;;;Mogi Guaçu;;
346;;;;;Santanópolis;;;;;;Ilicínea;;;;São Jorge do Ivaí;;;;;;Riozinho;;;;Moji-mirim;;
347;;;;;Santa Rita de Cássia;;;;;;Imbé de Minas;;;;São Jorge do Patrocínio;;;;;;Roca Sales;;;;Mombuca;;
348;;;;;Santa Teresinha;;;;;;Inconfidentes;;;;São José da Boa Vista;;;;;;Rodeio Bonito;;;;Monções;;
349;;;;;Santo Amaro;;;;;;Indaiabira;;;;São José Das Palmeiras;;;;;;Rolador;;;;Mongaguá;;
350;;;;;Santo Antônio de Jesus;;;;;;Indianópolis;;;;São José Dos Pinhais;;;;;;Rolante;;;;Monte Alegre do Sul;;
351;;;;;Santo Estêvão;;;;;;Ingaí;;;;São Manoel do Paraná;;;;;;Ronda Alta;;;;Monte Alto;;
352;;;;;São Desidério;;;;;;Inhapim;;;;São Mateus do Sul;;;;;;Rondinha;;;;Monte Aprazível;;
