id;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PR;PB;PE;PI;RJ;RN;RS;RO;RR;SC;SP;SE;TO
92;;São Miguel Dos Campos;;;Catolândia;Jaguaretama;;;Goianápolis;Itapecuru Mirim;Brasilândia de Minas;;Pontal do Araguaia;Peixe-boi;Cruz Machado;Itapororoca;João Alfredo;Guaribas;Volta Redonda;Olho-d´água do Borges;Carlos Gomes;;;Frei Rogério;Buri;;Paranã
93;;São Miguel Dos Milagres;;;Catu;Jaguaribara;;;Goiandira;Itinga do Maranhão;Brasília de Minas;;Ponte Branca;Piçarra;Cruzmaltina;Itatuba;Joaquim Nabuco;Hugo Napoleão;;Ouro Branco;Casca;;;Galvão;Buritama;;Pau D´arco
94;;São Sebastião;;;Caturama;Jaguaribe;;;Goianésia;Jatobá;Brás Pires;;Pontes e Lacerda;Placas;Curitiba;Jacaraú;Jucati;Ilha Grande;;Paraná;Caseiros;;;Garopaba;Buritizal;;Pedro Afonso
95;;Satuba;;;Central;Jaguaruana;;;Goiânia;Jenipapo Dos Vieiras;Braúnas;;Porto Alegre do Norte;Ponta de Pedras;Curiúva;Jericó;Jupi;Inhuma;;Paraú;Catuípe;;;Garuva;Cabrália Paulista;;Peixe
96;;Senador Rui Palmeira;;;Chorrochó;Jardim;;;Goianira;João Lisboa;Brasópolis;;Porto Dos Gaúchos;Portel;Diamante do Norte;João Pessoa;Jurema;Ipiranga do Piauí;;Parazinho;Caxias do Sul;;;Gaspar;Cabreúva;;Pequizeiro
97;;Tanque D´arca;;;Cícero Dantas;Jati;;;Goiás;Joselândia;Brumadinho;;Porto Esperidião;Porto de Moz;Diamante do Sul;Juarez Távora;Lagoa do Carro;Isaías Coelho;;Parelhas;Centenário;;;Governador Celso Ramos;Caçapava;;Colméia
98;;Taquarana;;;Cipó;Jijoca de Jericoacoara;;;Goiatuba;Junco do Maranhão;Bueno Brandão;;Porto Estrela;Prainha;Diamante D´oeste;Juazeirinho;Lagoa do Itaenga;Itainópolis;;Rio do Fogo;Cerrito;;;Grão Pará;Cachoeira Paulista;;Pindorama do Tocantins
99;;Teotônio Vilela;;;Coaraci;Juazeiro do Norte;;;Gouvelândia;Lago da Pedra;Buenópolis;;Poxoréo;Primavera;Dois Vizinhos;Junco do Seridó;Lagoa do Ouro;Itaueira;;Passa e Fica;Cerro Branco;;;Gravatal;Caconde;;Piraquê
100;;Traipu;;;Cocos;Jucás;;;Guapó;Lago do Junco;Bugre;;Primavera do Leste;Quatipuru;Douradina;Juripiranga;Lagoa Dos Gatos;Jacobina do Piauí;;Passagem;Cerro Grande;;;Guabiruba;Cafelândia;;Pium
101;;União Dos Palmares;;;Conceição da Feira;Lavras da Mangabeira;;;Guaraíta;Lago Verde;Buritis;;Querência;Redenção;Doutor Camargo;Juru;Lagoa Grande;Jaicós;;Patu;Cerro Grande do Sul;;;Guaraciaba;Caiabu;;Ponte Alta do Bom Jesus
102;;Viçosa;;;Conceição do Almeida;Limoeiro do Norte;;;Guarani de Goiás;Lagoa do Mato;Buritizeiro;;São José Dos Quatro Marcos;Rio Maria;Enéas Marques;Lagoa;Lajedo;Jardim do Mulato;;Santa Maria;Cerro Largo;;;Guaramirim;Caieiras;;Ponte Alta do Tocantins
103;;;;;Conceição do Coité;Madalena;;;Guarinos;Lago Dos Rodrigues;Cabeceira Grande;;Reserva do Cabaçal;Rondon do Pará;Engenheiro Beltrão;Lagoa de Dentro;Limoeiro;Jatobá do Piauí;;Pau Dos Ferros;Chapada;;;Guarujá do Sul;Caiuá;;Porto Alegre do Tocantins
104;;;;;Conceição do Jacuípe;Maracanaú;;;Heitoraí;Lagoa Grande do Maranhão;Cabo Verde;;Ribeirão Cascalheira;Rurópolis;Esperança Nova;Lagoa Seca;Macaparana;Jerumenha;;Pedra Grande;Charqueadas;;;Guatambú;Cajamar;;Porto Nacional
105;;;;;Conde;Maranguape;;;Hidrolândia;Lajeado Novo;Cachoeira da Prata;;Ribeirãozinho;Salinópolis;Entre Rios do Oeste;Lastro;Machados;João Costa;;Pedra Preta;Charrua;;;Herval D´oeste;Cajati;;Praia Norte
106;;;;;Condeúba;Marco;;;Hidrolina;Lima Campos;Cachoeira de Minas;;Rio Branco;Salvaterra;Espigão Alto do Iguaçu;Livramento;Manari;Joaquim Pires;;Pedro Avelino;Chiapetta;;;Ibiam;Cajobi;;Presidente Kennedy
107;;;;;Contendas do Sincorá;Martinópole;;;Iaciara;Loreto;Cachoeira Dourada;;Santa Carmem;Santa Bárbara do Pará;Farol;Logradouro;Maraial;Joca Marques;;Pedro Velho;Chuí;;;Ibicaré;Cajuru;;Pugmil
108;;;;;Coração de Maria;Massapê;;;Inaciolândia;Luís Domingues;Caetanópolis;;Santo Afonso;Santa Cruz do Arari;Faxinal;Lucena;Mirandiba;José de Freitas;;Pendências;Chuvisca;;;Ibirama;Campina do Monte Alegre;;Recursolândia
109;;;;;Cordeiros;Mauriti;;;Indiara;Magalhães de Almeida;Caeté;;São José do Povo;Santa Isabel do Pará;Fazenda Rio Grande;Mãe D´água;Moreno;Juazeiro do Piauí;;Pilões;Cidreira;;;Içara;Campinas;;Riachinho
110;;;;;Coribe;Meruoca;;;Inhumas;Maracaçumé;Caiana;;São José do Rio Claro;Santa Luzia do Pará;Fênix;Malta;Nazaré da Mata;Júlio Borges;;Poço Branco;Ciríaco;;;Ilhota;Campo Limpo Paulista;;Rio da Conceição
111;;;;;Coronel João sá;Milagres;;;Ipameri;Marajá do Sena;Cajuri;;São José do Xingu;Santa Maria Das Barreiras;Fernandes Pinheiro;Mamanguape;Olinda;Jurema;;Portalegre;Colinas;;;Imaruí;Campos do Jordão;;Rio Dos Bois
112;;;;;Correntina;Milhã;;;Ipiranga de Goiás;Maranhãozinho;Caldas;;São Pedro da Cipa;Santa Maria do Pará;Figueira;Manaíra;Orobó;Lagoinha do Piauí;;Porto do Mangue;Colorado;;;Imbituba;Campos Novos Paulista;;Rio Sono
113;;;;;Cotegipe;Miraíma;;;Iporá;Mata Roma;Camacho;;Rondolândia;Santana do Araguaia;Floraí;Marcação;Orocó;Lagoa Alegre;;Presidente Juscelino;Condor;;;Imbuia;Cananéia;;Sampaio
114;;;;;Cravolândia;Missão Velha;;;Israelândia;Matinha;Camanducaia;;Rondonópolis;Santarém;Flor da Serra do Sul;Mari;Ouricuri;Lagoa do Barro do Piauí;;Pureza;Constantina;;;Indaial;Canas;;Sandolândia
115;;;;;Crisópolis;Mombaça;;;Itaberaí;Matões;Cambuí;;Rosário Oeste;Santarém Novo;Floresta;Marizópolis;Palmares;Lagoa de São Francisco;;Rafael Fernandes;Coqueiro Baixo;;;Iomerê;Cândido Mota;;Santa fé do Araguaia
116;;;;;Cristópolis;Monsenhor Tabosa;;;Itaguari;Matões do Norte;Cambuquira;;Santa Cruz do Xingu;Santo Antônio do Tauá;Florestópolis;Massaranduba;Palmeirina;Lagoa do Piauí;;Rafael Godeiro;Coqueiros do Sul;;;Ipira;Cândido Rodrigues;;Santa Maria do Tocantins
117;;;;;Cruz Das Almas;Morada Nova;;;Itaguaru;Milagres do Maranhão;Campanário;;Salto do Céu;São Caetano de Odivelas;Flórida;Mataraca;Panelas;Lagoa do Sítio;;Riacho da Cruz;Coronel Barros;;;Iporã do Oeste;Canitar;;Santa Rita do Tocantins
